Law,Description,Fine Level,Fine Amount,Demerit Points
Rule 72 (1),Not give way to vehicle (left turn-unmarked intersection),5,349,3
Rule 72 (1),Not give way to pedestrian (left turn-unmarked intersection),5,349,3
Rule 72 (1),Not give way to vehicle (slip turn-unmarked intersection),5,349,3
Rule 72 (1),Not give way to pedestrian (slip turn-unmarked intersection),5,349,3
Rule 72 (1),Not give way to vehicle on right (right turn-unmarked intersection),5,349,3
Rule 72 (1),Not give way to oncoming vehicle,5,349,3
Rule 72 (1),Not give way to pedestrian,5,349,3
Rule 73 (1),Not give way to vehicle - turn from terminating road,5,349,3
Rule 73 (1),Not give way to pedestrian - turn from terminating road,5,349,3
Rule 73 (1),Not give way to vehicle - left turn from slip lane,5,349,3
Rule 73 (1),Not give way to pedestrian - left turn from slip lane,5,349,3
Rule 73 (1),Not give way to pedestrian - left turn into terminating road,5,349,3
Rule 73 (1),Not give way to vehicle - slip turn into terminating road from slip lane,5,349,3
Rule 73 (1),Not give way to pedestrian - slip turn into terminating road,5,349,3
Rule 73 (1),Not give way to vehicle - right turn into terminating road,5,349,3
Rule 73 (1),Not give way to pedestrian - right turn into terminating road,5,349,3
Rule 74 (1)(a),Leave road related area/adjacent land-not give way to vehicle on road,5,349,3
Rule 74 (1)(b),Leave road related area/adjacent land-not give way to pedestrian on road,5,349,3
Rule 74 (1)(c),Leave road related area/adjacent land-not give way to pedestrian/vehicle,5,349,3
Rule 74 (1)(d)(i),Not give way to pedestrian on area when leaving,5,349,3
Rule 74 (1)(d)(ii),Not give way to vehicle on area when leaving,5,349,3
Rule 75 (1)(a),Enter area/land-not give way to pedestrian on road,5,349,3
Rule 75 (1)(b),Not give way on area when entering,5,349,3
Rule 75 (1)(c),Not give way to vehicle-right turn into area/land,5,349,3
Rule 75 (1)(d),Not give way to vehicle-enter area/land at T-Intersection,5,349,3
Rule 76 (1),Drive into path of approaching tram,5,349,3
Rule 76 (2),Not move out of path of approaching tram,5,349,3
Rule 77 (1),Driver in left lane/traffic line not give way to bus,5,349,3
Rule 78 (1),Move into path of police or emergency vehicle,6,464,3
Rule 78 (2),Not move out of path of police/emergency vehicle,6,464,3
Rule 78-1 (1),Fail to give way to person near stationary emergency response vehicle,6,464,3
Rule 78-1 (2)(a),Drive past stationary emergency response vehicle - speed limit less than 80 km/h,6,464,3
Rule 78-1 (2)(b),Drive past stationary emergency response vehicle - speed equal to/exceeds 80 km/h,6,464,3
Rule 78-1 (3),Increase speed when passing stationary emergency response vehicle,6,464,3
Rule 79 (1),Not give way to police/emergency vehicle,6,464,3
Rule 79-1 (a),"Interfere/interrupt passage of funeral cortege/procession
2
$116
Rule 79-1 (b)
Interfere/interrupt vehicle in funeral cortege/procession
2
$116
Rule 79-2
At ferry/punt/bridge/railway crossing not wait at left end of line
2
$116
CROSSINGS & SHARED ZONES
Rule 80 (1)
Approach children’s crossing too quickly to stop safely*",6,464,3
Rule 80 (2)(a),Disobey hand-held stop sign at children’s crossing*,6,464,3
Rule 80 (2)(b),Not stop at children’s crossing-pedestrian on crossing*,6,464,3
Rule 80 (3)(a),Proceed at children’s crossing while sign shown*,6,464,3
Rule 80 (3)(b),Proceed at children’s crossing contrary to directions*,6,464,3
Rule 80 (4),Proceed at children’s crossing-pedestrian at crossing*,6,464,3
Rule 81 (1),Approach pedestrian crossing too quickly to stop safely*,6,464,3
Rule 81 (2),Not give way to pedestrian on pedestrian crossing*,6,464,3
Rule 82,Pass/overtake vehicle at pedestrian/children’s crossing*,6,464,3
Rule 83,Not give way to pedestrian in shared zone,6,464,3
Rule 84 (1)(a),Not give way to tram (drive through dividing strip break),5,349,3
Rule 84 (1)(b),Not give way to vehicle (drive through dividing strip break),5,349,3
Rule 85 (a) ,Not give way to vehicle in turning lane,5,349,3
Rule 85 (b),Not give way to vehicle entering turning lane (to right),5,349,3
Rule 85 (c) ,Not give way to vehicle entering turning lane (to left),5,349,3
Rule 86 (1),Not give way to vehicle (median turning bay),5,349,3
Rule 87 (1),Not give way to vehicle (enter road from side/shoulder),5,349,3
Rule 87 (3),Not give way to vehicle (enter road from parking area),5,349,3
Rule 88 (1),Disobey left turn only sign,4,272,2
Rule 88 (2),Disobey left lane must turn left sign,4,272,2
Rule 89 (1),Disobey right turn only sign,4,272,2
Rule 89 (2),Disobey right lane must turn right sign,4,272,2
Rule 90,Disobey no turns sign,4,272,2
Rule 91 (1),Disobey no left turn sign,4,272,2
Rule 91 (2),Disobey not right turn sign,4,272,2
Rule 92 (1),Drive contrary to direction of traffic lane arrow,4,272,2
Rule 93 (1)(a),Pass vehicle contrary to no overtaking or passing sign,4,272,2
Rule 93 (1)(b),Overtake vehicle contrary to no overtaking or passing sign,4,272,2
Rule 94,Disobey no overtaking on bridge sign,4,272,2
Rule 95 (1),Drive in emergency stopping lane,4,272,2
Rule 96 (1),Stop on area marked with keep clear marking,4,272,2
Rule 97 (1),Disobey road access sign,4,272,2
Rule 98 (1),Disobey one-way sign,4,272,2
Rule 99 (1),Disobey keep left sign,4,272,2
Rule 99 (2),Disobey keep right sign,4,272,2
Rule 100,Disobey no entry sign,4,272,2
Rule 101 (1),Not stop before hand-held stop sign*,5,349,3
Rule 101 (2)(a),Proceed past hand-held stop sign while sign shown*,5,349,3
Rule 101 (2)(b),Proceed past hand-held stop sign contrary to directions*,5,349,3
Rule 101A,"Drive on safety ramp or arrester bed
4
$272
Rule 102 (1)
Disobey clearance/low clearance sign
3
$194
Rule 102 (1)
Proceed past clearance/low clearance sign - tunnel/bridge/structure",14,"2,400",6
Rule 103 (1),"Disobey bridge load limit (gross mass) sign
4
$272
Rule 103 (1)
Disobey gross load limit sign
4
$272
Rule 103 (2)
Disobey bridge load limit (mass per axle group) sign
4
$272
Rule 104 (1)
Disobey no trucks sign (GVM)
3
$194
Rule 104 (2)
Disobey no trucks sign (length)
3
$194
Rule 104 (3)
Disobey no trucks sign
3
$194
Rule 104 (2)
Disobey no trucks sign (length) (where the sign is in relation to Galston Gorge)",14,"2,400",6
Rule 105,"Disobey trucks must enter sign
8
$697
Rule 106 (1)
Disobey no buses sign (GVM)
3
$194
Rule 106 (2)
Disobey no buses sign (length)
3
$194
Rule 106 (2)
Disobey no buses sign (length)(where the sign is in relation to Galston Gorge)",14,"2,400",6
Rule 106 (3),"Disobey no buses sign
3
$194
Rule 107
Disobey buses must enter sign
8
$697
Rule 108 (1)
Disobey trucks and buses low gear sign",5,349,3
Rule 111 (1)&(2),"Not enter roundabout on left (leave less than halfway)
4
$272
Rule 111 (1)&(3)
Not enter roundabout on right (leave more than halfway)
4
$272
Rule 111 (1)&(5)
Not enter roundabout in direction of traffic lane arrow
4
$272
Rule 112 (2)
Before roundabout not give left change of direction signal",3,194,2
Rule 112 (3),Not maintain left change of direction signal in roundabout,3,194,2
Rule 113 (2) ,Before roundabout not give right change of direction signal,3,194,2
Rule 113 (3),Not maintain right change of direction signal in roundabout,3,194,2
Rule 114 (1)(a),Not give way to vehicle when entering roundabout,5,349,3
Rule 114 (1)(b),Not give way to tram when entering roundabout,5,349,3
Rule 114 (2),Not give way to tram when driving in roundabout,5,349,3
Rule 115 (1),Not drive left of traffic island in roundabout,4,272,2
Rule 116,"Not drive in roundabout in direction of traffic lane arrow
4
$272
Rule 117 (1)
Not give left change of direction signal in roundabout",3,194,2
Rule 117 (2),Not give right change of direction signal in roundabout,3,194,2
Rule 118 (1),Not give left change of direction signal (exit roundabout),3,194,2
Rule 118 (2),"Not stop left change of direction signal (exit roundabout)
3
$194
LEVEL CROSSINGS
Rule 121 (a)
Not stop at stop line/sign at level crossing",6,464,3
Rule 121 (b),Not give way to train/tram at level crossing with stop sign,6,464,3
Rule 122,Disobey give way sign/line at level crossing,6,464,3
Rule 123 (a),Enter level crossing contrary to lights/bells,6,464,3
Rule 123 (b),Enter level crossing with gate/boom/barrier operating,6,464,3
Rule 123 (c),Enter level crossing when train/tram on/entering crossing,6,464,3
Rule 123 (d),Enter level crossing when approaching train/tram seen/heard,6,464,3
Rule 123 (e),Enter level crossing when crossing/road beyond blocked,6,464,3
Rule 124,Not leave level crossing when safe,6,464,3
Rule 125 (1),"Unreasonably obstruct driver/pedestrian
4
$272
Rule 126
Drive behind other vehicle too closely to stop safely",6,464,3
Rule 127 (1),Long vehicle not required distance from other long vehicle,6,464,3
Rule 128,"Enter intersection when intersection/road beyond blocked
4
$272
Rule 128A
Enter blocked children's/pedestrian/marked foot crossing*",4,272,2
Rule 129 (1),Not drive on far left side of road,4,272,2
Rule 130 (1)(a)&(2) ,Drive in right lane on road with speed limit over 80 km/h,5,349,2
Rule 130 (1)(b)&(2),Disobey keep left unless overtaking sign,5,349,2
Rule 131,Not keep left of oncoming vehicle,5,349,2
Rule 132 (1),Not keep left of centre on two-way road,5,349,2
Rule 132 (2),Not keep left of dividing line,5,349,3
Rule 132 (2A),Drive across dividing lines to perform U-turn,5,349,3
Rule 135 (1),Not keep left of median strip,5,349,3
Rule 136,Drive wrong way on one-way service road,5,349,3
Rule 137 (1),Drive on dividing strip,4,272,2
Rule 138 (1),Drive on/over continuous line near painted island,4,272,2
Rule 140,Overtake vehicle when unsafe,5,349,2
Rule 141 (1),Overtake to left of vehicle,3,194,2
Rule 142 (1),Overtake to right of vehicle turning right/making U-turn,5,349,2
Rule 143 (1),Disobey do not overtake turning vehicle sign (left turn),4,272,2
Rule 143 (1A),Overtake/pass vehicle contrary to sign,4,272,2
Rule 143 (2),Disobey do not overtake turning vehicle sign (right/U-turn),4,272,2
Rule 144 (a),Overtake vehicle too closely,5,349,2
Rule 144 (b),Cut in front of vehicle after overtaking,5,349,2
Rule 144-1 (1),Fail to keep safe distance when passing bicycle,5,349,2
Rule 145,Increase speed while being overtaken,5,349,3
Rule 146 (1),Not drive within marked lane multi-lane road,4,272,2
Rule 146 (2),Not drive within single line of traffic (no lines marked),4,272,2
Rule 147,Move from marked lane to another across continuous line,4,272,2
Rule 148 (1),Not give way (move from marked lane to another),5,349,3
Rule 148 (2),Not give way (move from one line of traffic to another),5,349,3
Rule 148A,Not give way (diverges left or right within marked lane),5,349,3
Rule 149,Not give way to vehicle ahead when merging,5,349,3
Rule 150 (1),Drive on/over continuous white edge line,4,272,2
Rule 151 (1),"Ride motorcycle more than 2 abreast on road
1
$78
Rule 151 (2)
Ride motorcycle more than 2 abreast in marked lane
1
$78
Rule 151 (4)
Ride motorcycle more than 1.5m from another
1
$78
Rule 151A (2)
Motor bike rider unlawfully lane filter",8,697,3
Rule 152 (1)&(2),Drive in lane (red cross on overhead device),6,464,3
Rule 152 (1)&(3),Drive in lane (flashing red cross on overhead device),6,464,3
Rule 153 (1),"Drive in bicycle lane
3
$194
Rule 154 (1)
Drive in bus lane",5,349,1
Rule 155 (1),Drive in tram lane,4,272,1
Rule 155A,Drive in a tramway,4,272,1
Rule 156 (1),"Drive in transit lane
4
$272
Rule 157 (1)
Drive in truck lane
5
$349
Rule 157-1 (1)
Drive in a T-Way lane",5,349,1
Rule 159 (1),Not drive in lane marked for particular vehicle,5,349,3
Rule 160 (2),"Pass/overtake to right of tram
2
$116
Rule 160 (3)
Pass/overtake tram turning/signalling left
2
$116
Rule 161 (2)
Pass/overtake to left of tram
2
$116
Rule 161 (3)
Pass/overtake tram turning/signalling right
2
$116
Rule 162 (1)(a)
Drive on safety zone",3,194,2
Rule 163 (1)(b),Not drive safely to left of safety zone,3,194,2
Rule 163 (1)&(2),Drive past rear of stopped tram when pedestrian is crossing,3,194,2
Rule 164 (1)&(2),Not give way to pedestrian near stopped tram,3,194,2
Rule 164 (1)&(3),Proceed near stopped tram (road not clear of pedestrians),3,194,2
Rule 164 (1)&(4),Pass/overtake stopped tram at prohibited speed,3,194,2
Rule 164A,Drive past safety zone/stopped tram,3,194,2
Rule 164A,Fail to give way to pedestrian crossing near stopped tram,3,194,2
Rule 212 (1),"Enter/leave median strip parking area contrary to sign
2
$116
Rule 212 (2)
Not enter/leave median strip parking area forwards
2
$116
VEHICLE SECURITY
Rule 213 (2)
Not restrain vehicle properly
2
$116
Rule 213 (3)
Leave engine on
2
$116
Rule 213 (4)
Not remove ignition key (vehicle unattended)
2
$116
Rule 213 (5)
Not secure windows/lock doors (vehicle unattended)
2
$116
LIGHTS
Rule 215-1 (1)
Drive during period of darkness without prescribed lights",2,116,1
Rule 216 (1)(a),"Tail/rear lights no on/visible (towing from front)
2
$116
Rule 216 (1)(b)
Rear lights not/visible (towing from rear)
2
$116
Rule 218 (1)(a)
Use/allow use of high-beam on vehicle in front",2,116,1
Rule 218 (1)(b),Use/allow use of high-beam on oncoming vehicle,2,116,1
Rule 218-1 (a),"Use fog light when not permitted
2
$116
Rule 218-1 (b)
Unlawful use of spot/search lamp
2
$116
Rule 218-1 (c) 
Unlawful use of additional headlamps
2
$116
Rule 218-1 (e)
Use other lights not as prescribed
2
$116
Rule 218-1 (f)
Use/allow use of hazard warning lights when not permitted
2
$116
Rule 219
Use/allow use of light on/in vehicle likely/to dazzle",2,116,1
